Barrutia;Eserlekuak;Partido Popular (PP);Partido Socialista Obrero Español (PSOE);VOX (VOX);Sumar (SUMAR);Partit dels Socialistes de Catalunya (PSC-PSOE) (PSC);Esquerra Republicana de Catalunya (ERC);Junts (JUNTS);Euskal Herria Bildu (EH Bildu);Euzko Alderdi Jeltzalea-Partido Nacionalista Vasco (EAJ-PNV);Bloque Nacionalista Galego (BNG);Coalición Canaria (CCa);Unión del Pueblo Navarro (UPN);Partido Animalista con el Medio Ambiente (PACMA);Candidatura D'Unitat Popular-Per La Ruptura (CUP-PR);Frente Obrero (FO);Nueva Canarias-Bloque Canarista (NC-bc);Partit Demòcrata Europeu Català-Espai CIU (PDeCAT-E-CiU);Recortes Cero (RECORTES CERO);Por un Mundo más Justo (PUM+J);Unión del Pueblo Leones (UPL);Coalición Existe (EXISTE);Partido Comunista de los Trabajadores de España (PCTE);Geroa Bai (GBAI).;Soria ¡Ya! (SY);Adelante Andalucía (ADELANTE ANDALUCÍA);Escaños en Blanco para dejar Escaños Vacíos (ESCAÑOS EN BLANCO);Jaén Merece Más (JM+);Por Ávila (XAV);Bloque Extremeño (BQEX);Caminando Juntos (CJ);España Vaciada (ESPAÑA VACIADA);Falange Española de las JONS (FE de las JONS);Partido Aragonés (PAR);Partido Humanista (PH);Por Huelva (XH);Vamos Palencia (VP);Zamora Sí (Zsi);Vía Burgalesa (VB);Por Mi Región (POR MI REGIÓN);Ahora Canarias-Partido Comunista del Pueblo Canario (AHORA CANARIAS-PCPC);Partido Autónomos (PARTIDO AUTÓNOMOS);Estat Valencià del Benestar (EVB);Coalición por Melilla (CpM);Juntos por Granada (JxG);España Vaciada-Partido Castellano-Tierra Comunera (EV-PCAS-TC);Partido Regionalista del País Leonés (PREPAL);Somos Cáceres (Somos Cc);Almerienses-Regionalistas Pro Almería (ALM);Federación de los Independientes de Aragón (FIA);Tercera Edad en Acción (3e);Unidad Castellana (Ud.Ca);Grupo Independiente Palencia Tierra Viva (GITV);Partido Unionista Estado de España (PUEDE);Entre Veïns Catalunya (EVR);Libres (LB);Unidos por la Solidaridad Internacional (UNIDOS SI);Referéndum Sistema Dinero (+RDS+);Coalición de Centro Democrático (CCD);Fuerza Cívica (FUERZA CÍVICA);Zuriak
Albacete;4;88299;76322;36750;15834;0;0;0;0;0;0;0;0;1261;0;381;0;0;185;325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1834
Alicante/Alacant;12;330293;287737;146133;115787;0;0;0;0;0;0;0;0;7335;0;1724;0;0;1135;0;0;0;0;0;0;0;0;0;0;0;1027;0;0;0;0;0;0;0;0;0;0;1446;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6575
Almería;6;131524;93282;68364;21485;0;0;0;0;0;0;0;0;1962;0;500;0;0;206;371;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;874;0;0;0;0;0;0;210;0;0;0;0;2464
Araba/Álava;4;30212;46775;6573;21561;0;0;0;32987;28075;0;0;0;773;0;354;0;0;185;106;0;0;165;0;0;0;619;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;722
Asturias;7;212816;205049;74571;88630;0;0;0;0;0;0;0;0;3167;0;1176;0;0;590;773;0;0;1598;0;0;0;0;0;0;0;0;2314;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;269;0;0;0;0;0;0;6079
Ávila;3;42369;26828;15068;5027;0;0;0;0;0;0;0;0;275;0;100;0;0;42;91;0;0;85;0;0;0;0;0;7362;0;0;0;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;632
Badajoz;5;148068;153473;53492;26778;0;0;0;0;0;0;0;0;1395;0;477;0;0;204;464;0;0;0;0;0;0;0;0;0;3885;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3225
Balears (Illes);8;179303;151786;76547;83487;0;0;0;0;0;0;0;0;4969;0;1039;0;0;726;0;0;0;719;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4704
Barcelona;32;367519;0;201775;405993;952347;328697;258159;0;0;0;0;0;28201;67266;6048;0;24452;3104;0;0;0;2858;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21059
Bizkaia;8;70533;157448;16069;66592;0;0;0;125867;164188;0;0;0;2729;0;929;0;0;525;804;0;0;618;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3391
Burgos;4;82329;69775;25858;17508;0;0;0;0;0;0;0;0;943;0;490;0;0;154;354;0;0;349;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1774;0;0;0;0;0;0;1184;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1851
Cáceres;4;89633;91692;32076;16354;0;0;0;0;0;0;0;0;814;0;316;0;0;111;249;0;0;0;0;0;0;0;0;0;1922;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;963;0;0;0;0;0;0;0;0;0;0;0;0;1721
Cádiz;9;221703;211200;96720;82115;0;0;0;0;0;0;0;0;5937;0;1225;0;0;486;673;0;0;0;0;0;9191;0;0;0;0;745;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7103
Cantabria;5;147326;116596;49243;29713;0;0;0;0;0;0;0;0;2089;0;790;0;0;533;0;0;0;598;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3262
Castellón/Castelló;5;108302;100530;48913;44187;0;0;0;0;0;0;0;0;1968;0;721;0;0;493;0;0;0;0;0;0;0;0;0;0;0;0;0;161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2655
Ceuta;1;12918;11332;7752;821;0;0;0;0;0;0;0;0;0;0;53;0;0;33;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;0;0;0;0;328
Ciudad Real;5;114709;100102;46046;17405;0;0;0;0;0;0;0;0;1319;0;447;0;0;233;365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2353
Córdoba;6;169976;144080;62526;61594;0;0;0;0;0;0;0;0;2699;0;701;0;0;392;598;0;0;746;0;0;0;942;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4348
Coruña (A);8;292272;190897;34410;82618;0;0;0;0;0;67653;0;0;3096;0;1011;0;0;548;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5197
Cuenca;3;45255;42528;17700;6325;0;0;0;0;0;0;0;0;387;0;207;0;0;58;111;0;0;100;0;0;0;168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;969
Gipuzkoa;6;32721;87709;7877;40081;0;0;0;117321;85026;0;0;0;1568;0;530;0;0;442;149;0;0;259;0;0;0;933;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2005
Girona;6;31341;0;22706;35344;93448;47531;63251;0;0;0;0;0;3531;18229;570;0;3388;248;0;0;0;420;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2981
